"ticker","DES"
"CY112490 Curncy","NA Japan Fin Sr IG 7Y CDSB"
"CY112455 Curncy","NA Japan Fin Sub IG 7Y CDSB"
"CY112560 Curncy","NA Japan Industrials IG 7Y"
"CY112280 Curncy","NA Japan Materials IG 7Y CD"
"CY112595 Curncy","NA Japan Tech IG 7Y CDSB Co"
"CY112630 Curncy","NA Japan Util IG 7Y CDSB Co"
"CY111235 Curncy","NA America Comm HY 10Y CDSB"
"CY111200 Curncy","NA America Comm IG 10Y CDSB"
"CY111305 Curncy","NA America Cons Disc HY 10Y"
"CY111270 Curncy","NA America Cons Disc IG 10Y"
"CY111375 Curncy","NA America Cons Stap HY 10Y"
"CY111340 Curncy","NA America Cons Stap IG 10Y"
"CY111445 Curncy","NA America Energy HY 10Y CD"
"CY111410 Curncy","NA America Energy IG 10Y CD"
"CY111585 Curncy","NA America Fin Sr HY 10Y CD"
"CY111550 Curncy","NA America Fin Sr IG 10Y CD"
"CY111480 Curncy","NA America Fin Sub IG 10Y C"
"CY111655 Curncy","NA America Health HY 10Y CD"
"CY111620 Curncy","NA America Health IG 10Y CD"
"CY111690 Curncy","NA America Industrials IG10"
"CY111165 Curncy","NA America Materials HY 10Y"
"CY111130 Curncy","NA America Materials IG 10Y"
