DES,ticker
OIL - NYM GASOLINE RBOB Non Comercial Spreading,NYM2XNCP Index
OIL - NYM GASOLINE RBOB Commercial Long,NYM2XCOL Index
OIL - NYM GASOLINE RBOB Commercial Short,NYM2XCOS Index
OIL - NYM GASOLINE RBOB Total Long,NYM2XTLL Index
OIL - NYM GASOLINE RBOB Total Short,NYM2XTLS Index
OIL - NYM GASOLINE RBOB Open Interest,NYM2XOIN Index
OIL - NYM GASOLINE RBOB Non Reportable Long,NYM2XNRL Index
OIL - NYM GASOLINE RBOB Non Reportable Short,NYM2XNRS Index
OIL - NYM GASOLINE RBOB Managed Money Long,CFFDRMML Index
OIL - NYM GASOLINE RBOB Managed Money Short,CFFDRMMS Index
OIL - NYM GASOLINE RBOB Producer Long,CFFDRPML Index
OIL - NYM GASOLINE RBOB Producer Short,CFFDRPMS Index
OIL - NYM GASOLINE RBOB Swap Dealers Long,CFFDRSWL Index
OIL - NYM GASOLINE RBOB Swap Dealers Short,CFFDRSWS Index
OIL - NYM GASOLINE RBOB Swap Dealers Spreading,CFFDRSWD Index
OIL - NYM GASOLINE RBOB Managed Money Spread,CFFDRMMD Index
OIL - NYM GASOLINE RBOB Other Reportables Long,CFFDRORL Index
OIL - NYM GASOLINE RBOB Other Reportables Short,CFFDRORS Index
OIL - NYM GASOLINE RBOB Other Reportables Spreading,CFFDRORD Index
OIL - NYM GASOLINE RBOB Non Commercial Net Position,NYM2XNCN Index
OIL - NYM NATURAL GAS 1st Contract Price,NG1 Comdty
OIL - NYM NATURAL GAS Non Comercial Long,NYM1NNCL Index
OIL - NYM NATURAL GAS Non Comercial Short,NYM1NNCS Index
OIL - NYM NATURAL GAS Non Comercial Spreading,NYM1NNCP Index
OIL - NYM NATURAL GAS Commercial Long,NYM1NCOL Index
OIL - NYM NATURAL GAS Commercial Short,NYM1NCOS Index
OIL - NYM NATURAL GAS Total Long,NYM1NTLL Index
OIL - NYM NATURAL GAS Total Short,NYM1NTLS Index
OIL - NYM NATURAL GAS Open Interest,NYM1NOIN Index
OIL - NYM NATURAL GAS Non Reportable Long,NYM1NNRL Index
OIL - NYM NATURAL GAS Non Reportable Short,NYM1NNRS Index
OIL - NYM NATURAL GAS Managed Money Long,CFFDOMML Index
OIL - NYM NATURAL GAS Managed Money Short,CFFDOMMS Index
OIL - NYM NATURAL GAS Producer Long,CFFDOPML Index
OIL - NYM NATURAL GAS Producer Short,CFFDOPMS Index
OIL - NYM NATURAL GAS Swap Dealers Long,CFFDOSWL Index
OIL - NYM NATURAL GAS Swap Dealers Short,CFFDOSWS Index
OIL - NYM NATURAL GAS Swap Dealers Spreading,CFFDOSWD Index
OIL - NYM NATURAL GAS Managed Money Spread,CFFDOMMD Index
OIL - NYM NATURAL GAS Other Reportables Long,CFFDOORL Index
OIL - NYM NATURAL GAS Other Reportables Short,CFFDOORS Index
OIL - NYM NATURAL GAS Other Reportables Spreading,CFFDOORD Index
OIL - NYM NATURAL GAS Non Commercial Net Position,NYM1NNCN Index
OIL - NYM PROPANE 1st Contract Price,BAP1 Comdty
OIL - NYM PROPANE Non Comercial Long,CFF2ZNCL Index
OIL - NYM PROPANE Non Comercial Short,CFF2ZNCS Index
OIL - NYM PROPANE Non Comercial Spreading,CFF2ZNCP Index
OIL - NYM PROPANE Commercial Long,CFF2ZCOL Index
OIL - NYM PROPANE Commercial Short,CFF2ZCOS Index
OIL - NYM PROPANE Total Long,CFF2ZTLL Index
OIL - NYM PROPANE Total Short,CFF2ZTLS Index
OIL - NYM PROPANE Open Interest,CFF2ZOIN Index
OIL - NYM PROPANE Non Reportable Long,CFF2ZNRL Index
OIL - NYM PROPANE Non Reportable Short,CFF2ZNRS Index
OIL - NYM PROPANE Managed Money Long,DFU3EMML Index
OIL - NYM PROPANE Managed Money Short,DFU3EMMS Index
OIL - NYM PROPANE Producer Long,DFU3EPML Index
OIL - NYM PROPANE Producer Short,DFU3EPMS Index
OIL - NYM PROPANE Swap Dealers Long,DFU3ESWL Index
OIL - NYM PROPANE Swap Dealers Short,DFU3ESWS Index
OIL - NYM PROPANE Swap Dealers Spreading,DFU3ESWD Index
OIL - NYM PROPANE Managed Money Spread,DFU3EMMD Index
OIL - NYM PROPANE Other Reportables Long,DFU3EORL Index
OIL - NYM PROPANE Other Reportables Short,DFU3EORS Index
OIL - NYM PROPANE Other Reportables Spreading,DFU3EORD Index
OIL - NYM PROPANE Non Commercial Net Position,CFF2ZNCN Index
OIL- NYM ETHANE 1st Contract Price,CAP1 Comdty
OIL- NYM ETHANE Non Comercial Long,CFF3ANCL Index
OIL- NYM ETHANE Non Comercial Short,CFF3ANCS Index
OIL- NYM ETHANE Non Comercial Spreading,CFF3ANCP Index
OIL- NYM ETHANE Commercial Long,CFF3ACOL Index
OIL- NYM ETHANE Commercial Short,CFF3ACOS Index
OIL- NYM ETHANE Total Long,CFF3ATLL Index
OIL- NYM ETHANE Total Short,CFF3ATLS Index
OIL- NYM ETHANE Open Interest,CFF3AOIN Index
OIL- NYM ETHANE Non Reportable Long,CFF3ANRL Index
OIL- NYM ETHANE Non Reportable Short,CFF3ANRS Index
OIL- NYM ETHANE Managed Money Long,DFU3FMML Index
OIL- NYM ETHANE Managed Money Short,DFU3FMMS Index
OIL- NYM ETHANE Producer Long,DFU3FPML Index
OIL- NYM ETHANE Producer Short,DFU3FPMS Index
OIL- NYM ETHANE Swap Dealers Long,DFU3FSWL Index
OIL- NYM ETHANE Swap Dealers Short,DFU3FSWS Index
OIL- NYM ETHANE Swap Dealers Spreading,DFU3FSWD Index
OIL- NYM ETHANE Managed Money Spread,DFU3FMMD Index
